league,team_id,team_slug,team_name,team_display,team_color
mens,2641,texas-tech-red-raiders,Texas Tech,Texas Tech,#c83c2b
mens,2643,the-citadel-bulldogs,The Citadel,The Citadel,#84accf
mens,2649,toledo-rockets,Toledo,Toledo,#f7d047
mens,265,washington-state-cougars,Washington State,WSU,#8c2a35
mens,2653,troy-trojans,Troy,Troy,#85323c
mens,2655,tulane-green-wave,Tulane,Tulane,#2a634a
mens,2666,urbana-blue-knights,Urbana,Urbana,gray60
mens,2670,vcu-rams,VCU,VCU,#daa040
mens,2671,virginia-intermont-cobras,Virginia Intermont,VA Inter,gray60
mens,2674,valparaiso-beacons,Valparaiso,Valparaiso,#553311
mens,2678,vmi-keydets,VMI,VMI,#9d2a32
mens,2681,wagner-seahawks,Wagner,Wagner,#1c473b
mens,269,marquette-golden-eagles,Marquette,Marquette,#123262
mens,2692,weber-state-wildcats,Weber State,Weber State,#45287d
mens,2698,west-georgia-wolves,West Georgia,UWG,#12329b
mens,27,uc-riverside-highlanders,UC Riverside,Riverside,#163ba0
mens,270,milwaukee-panthers,Milwaukee,Milwaukee,#77797b
mens,2710,western-illinois-leathernecks,Western Illinois,West IL,#4e2b8e
mens,2711,western-michigan-broncos,Western Michigan,West MI,#4b1e07
mens,2717,western-carolina-catamounts,Western Carolina,W Carolina,#55308c
mens,2724,wichita-state-shockers,Wichita State,Wichita,#f8d448
mens,2729,william-mary-tribe,William & Mary,W&M,#2b5541
mens,2737,winthrop-eagles,Winthrop,Winthrop,#9a2035
mens,2739,green-bay-phoenix,Green Bay,Green Bay,#1b2f29
mens,2747,wofford-terriers,Wofford,Wofford,#856f50
mens,275,wisconsin-badgers,Wisconsin,Wisconsin,#b12535
mens,2750,wright-state-raiders,Wright State,Wright,#2f6d55
mens,2751,wyoming-cowboys,Wyoming,Wyoming,#453026
mens,2752,xavier-musketeers,Xavier,Xavier,#24304c
mens,2754,youngstown-state-penguins,Youngstown State,Youngstown,#d2353e
mens,2755,grambling-tigers,Grambling,Grambling,#e7b541
mens,276,marshall-thundering-herd,Marshall,Marshall,#4eab4f
mens,277,west-virginia-mountaineers,West Virginia,WVU,#0c2752
mens,2771,merrimack-warriors,Merrimack,Merrimack,#133469
mens,278,fresno-state-bulldogs,Fresno State,Fresno,#b42b36
mens,279,pacific-tigers,Pacific,Pacific,#cb6937
mens,28,uc-san-diego-tritons,UC San Diego,UCSD,#182749
mens,2803,bryant-bulldogs,Bryant,Bryant,#a29578
mens,2815,lindenwood-lions,Lindenwood,Lindenwood,#b0a16f
mens,2816,mckendree-bearcats,McKendree,McKendree,gray60
mens,282,indiana-state-sycamores,Indiana State,IN State,#224b8c
mens,2837,east-texas-am-lions,East Texas A&M,East TAMU,#143767
mens,284,stonehill-skyhawks,Stonehill,Stonehill,#322a76
mens,2856,california-baptist-lancers,California Baptist,CA Baptist,#0a2350
mens,2868,holy-names-university-hawks,Holy Names University,Holy Names,gray60
mens,2870,purdue-fort-wayne-mastodons,Purdue Fort Wayne,PFW,#c0a049
mens,288,lipscomb-bisons,Lipscomb,Lipscomb,#f3bb44
mens,2885,njit-highlanders,NJIT,NJIT,#151f45
mens,290,georgia-southern-eagles,Georgia Southern,GA South,#143772
mens,2900,st-thomas-minnesota-tommies,St. Thomas-Minnesota,St Thomas,#4c2a6f
mens,2908,south-carolina-upstate-spartans,South Carolina Upstate,USC Upstate,#3a834b
mens,2916,incarnate-word-cardinals,Incarnate Word,UIW,#c04140
mens,292,ut-rio-grande-valley-vaqueros,UT Rio Grande Valley,UTRGV,#ec6431
mens,2934,cal-state-bakersfield-roadrunners,Cal State Bakersfield,Bakersfield,#264283
mens,294,jacksonville-dolphins,Jacksonville,Jacksonville,#224c43
mens,2947,rochester-university-mi-warriors,Rochester University (MI),Rochester,gray60
mens,295,old-dominion-monarchs,Old Dominion,ODU,#1b4573
mens,299,long-beach-state-beach,Long Beach State,LB State,#050707
mens,30,usc-trojans,USC,USC,#902d38
mens,300,uc-irvine-anteaters,UC Irvine,UC Irvine,#12223d
mens,301,san-diego-toreros,San Diego,San Diego,#5a9acd
mens,302,uc-davis-aggies,UC Davis,UC Davis,#172b4f
mens,304,idaho-state-bengals,Idaho State,Idaho State,#e3803a
mens,305,depaul-blue-demons,DePaul,DePaul,#4398d3
mens,3084,utah-valley-wolverines,Utah Valley,Utah Valley,#305b3a
mens,3087,old-westbury-panthers,Old Westbury,Westbury,gray60
mens,309,louisiana-ragin-cajuns,Louisiana,Louisiana,#8c2629
mens,3093,cincinnati-christian-eagles,Cincinnati Christian,CCU,gray60
mens,3098,marygrove-mustangs,Marygrove,Marygrove,gray60
mens,3101,utah-tech-trailblazers,Utah Tech,Utah Tech,#ab2e2a
mens,311,maine-black-bears,Maine,Maine,#88bbe5
mens,3119,daniel-webster-college-fighting-scots,Daniel Webster College,DWC,gray60
mens,314,iona-gaels,Iona,Iona,#69313d
mens,3140,st-catharine-ky-wildcats,St. Catharine (KY),St Cath,gray60
mens,315,niagara-purple-eagles,Niagara,Niagara,#322a77
