league,team_id,team_slug,team_name
mens,2633,tennessee-volunteers,Tennessee Volunteers
mens,245,texas-am-aggies,Texas A&M Aggies
mens,251,texas-longhorns,Texas Longhorns
mens,238,vanderbilt-commodores,Vanderbilt Commodores
mens,2010,alabama-am-bulldogs,Alabama A&M Bulldogs
mens,2011,alabama-state-hornets,Alabama State Hornets
mens,2016,alcorn-state-braves,Alcorn State Braves
mens,2029,arkansas-pine-bluff-golden-lions,Arkansas-Pine Bluff Golden Lions
mens,2065,bethune-cookman-wildcats,Bethune-Cookman Wildcats
mens,50,florida-am-rattlers,Florida A&M Rattlers
mens,2755,grambling-tigers,Grambling Tigers
mens,2296,jackson-state-tigers,Jackson State Tigers
mens,2400,mississippi-valley-state-delta-devils,Mississippi Valley State Delta Devils
mens,2504,prairie-view-am-panthers,Prairie View A&M Panthers
mens,2582,southern-jaguars,Southern Jaguars
mens,2640,texas-southern-tigers,Texas Southern Tigers
mens,236,chattanooga-mocs,Chattanooga Mocs
mens,2193,east-tennessee-state-buccaneers,East Tennessee State Buccaneers
mens,231,furman-paladins,Furman Paladins
mens,2382,mercer-bears,Mercer Bears
mens,2535,samford-bulldogs,Samford Bulldogs
mens,2643,the-citadel-bulldogs,The Citadel Bulldogs
mens,2430,unc-greensboro-spartans,UNC Greensboro Spartans
mens,2678,vmi-keydets,VMI Keydets
mens,2717,western-carolina-catamounts,Western Carolina Catamounts
mens,2747,wofford-terriers,Wofford Terriers
mens,2277,houston-christian-huskies,Houston Christian Huskies
mens,2916,incarnate-word-cardinals,Incarnate Word Cardinals
mens,2320,lamar-cardinals,Lamar Cardinals
mens,2377,mcneese-cowboys,McNeese Cowboys
mens,2443,new-orleans-privateers,New Orleans Privateers
mens,2447,nicholls-colonels,Nicholls Colonels
mens,2466,northwestern-state-demons,Northwestern State Demons
mens,2545,se-louisiana-lions,SE Louisiana Lions
mens,2617,stephen-f-austin-lumberjacks,Stephen F. Austin Lumberjacks
mens,2837,texas-am-commerce-lions,Texas A&M-Commerce Lions
mens,357,texas-am-corpus-christi-islanders,Texas A&M-Corpus Christi Islanders
mens,292,ut-rio-grande-valley-vaqueros,UT Rio Grande Valley Vaqueros
mens,2172,denver-pioneers,Denver Pioneers
mens,140,kansas-city-roos,Kansas City Roos
mens,155,north-dakota-fighting-hawks,North Dakota Fighting Hawks
mens,2449,north-dakota-state-bison,North Dakota State Bison
mens,2437,omaha-mavericks,Omaha Mavericks
mens,198,oral-roberts-golden-eagles,Oral Roberts Golden Eagles
mens,233,south-dakota-coyotes,South Dakota Coyotes
mens,2571,south-dakota-state-jackrabbits,South Dakota State Jackrabbits
mens,2900,st-thomas-minnesota-tommies,St. Thomas-Minnesota Tommies
mens,2026,appalachian-state-mountaineers,App State Mountaineers
mens,2032,arkansas-state-red-wolves,Arkansas State Red Wolves
mens,324,coastal-carolina-chanticleers,Coastal Carolina Chanticleers
mens,290,georgia-southern-eagles,Georgia Southern Eagles
mens,2247,georgia-state-panthers,Georgia State Panthers
mens,256,james-madison-dukes,James Madison Dukes
mens,309,louisiana-ragin-cajuns,Louisiana Ragin' Cajuns
mens,276,marshall-thundering-herd,Marshall Thundering Herd
mens,295,old-dominion-monarchs,Old Dominion Monarchs
mens,6,south-alabama-jaguars,South Alabama Jaguars
mens,2572,southern-miss-golden-eagles,Southern Miss Golden Eagles
mens,326,texas-state-bobcats,Texas State Bobcats
mens,2653,troy-trojans,Troy Trojans
mens,2433,ul-monroe-warhawks,UL Monroe Warhawks
mens,2000,abilene-christian-wildcats,Abilene Christian Wildcats
mens,2856,california-baptist-lancers,California Baptist Lancers
mens,2253,grand-canyon-lopes,Grand Canyon Lopes
mens,2547,seattle-u-redhawks,Seattle U Redhawks
mens,253,southern-utah-thunderbirds,Southern Utah Thunderbirds
mens,2627,tarleton-state-texans,Tarleton State Texans
mens,250,ut-arlington-mavericks,UT Arlington Mavericks
mens,3101,utah-tech-trailblazers,Utah Tech Trailblazers
mens,3084,utah-valley-wolverines,Utah Valley Wolverines
mens,2250,gonzaga-bulldogs,Gonzaga Bulldogs
mens,2351,loyola-marymount-lions,Loyola Marymount Lions
mens,204,oregon-state-beavers,Oregon State Beavers
mens,279,pacific-tigers,Pacific Tigers
mens,2492,pepperdine-waves,Pepperdine Waves
mens,2501,portland-pilots,Portland Pilots
mens,2608,saint-marys-gaels,Saint Mary's Gaels
mens,301,san-diego-toreros,San Diego Toreros
mens,2539,san-francisco-dons,San Francisco Dons
mens,2541,santa-clara-broncos,Santa Clara Broncos
mens,265,washington-state-cougars,Washington State Cougars
womens,103,boston-college-eagles,Boston College Eagles
womens,25,california-golden-bears,California Golden Bears
womens,228,clemson-tigers,Clemson Tigers
womens,150,duke-blue-devils,Duke Blue Devils
womens,52,florida-state-seminoles,Florida State Seminoles
womens,59,georgia-tech-yellow-jackets,Georgia Tech Yellow Jackets
womens,97,louisville-cardinals,Louisville Cardinals
womens,2390,miami-hurricanes,Miami Hurricanes
womens,152,nc-state-wolfpack,NC State Wolfpack
womens,153,north-carolina-tar-heels,North Carolina Tar Heels
womens,87,notre-dame-fighting-irish,Notre Dame Fighting Irish
womens,221,pittsburgh-panthers,Pittsburgh Panthers
womens,2567,smu-mustangs,SMU Mustangs
womens,24,stanford-cardinal,Stanford Cardinal
womens,183,syracuse-orange,Syracuse Orange
womens,258,virginia-cavaliers,Virginia Cavaliers
womens,259,virginia-tech-hokies,Virginia Tech Hokies
womens,154,wake-forest-demon-deacons,Wake Forest Demon Deacons
womens,2046,austin-peay-governors,Austin Peay Governors
womens,91,bellarmine-knights,Bellarmine Knights
womens,2110,central-arkansas-sugar-bears,Central Arkansas Sugar Bears
womens,2198,eastern-kentucky-colonels,Eastern Kentucky Colonels
womens,526,florida-gulf-coast-eagles,Florida Gulf Coast Eagles
womens,294,jacksonville-dolphins,Jacksonville Dolphins
womens,288,lipscomb-bisons,Lipscomb Bisons
womens,2453,north-alabama-lions,North Alabama Lions
womens,2454,north-florida-ospreys,North Florida Ospreys
womens,2511,queens-university-royals,Queens University Royals
womens,56,stetson-hatters,Stetson Hatters
womens,2698,west-georgia-wolves,West Georgia Wolves
womens,2066,binghamton-bearcats,Binghamton Bearcats
womens,2803,bryant-bulldogs,Bryant Bulldogs
womens,311,maine-black-bears,Maine Black Bears
womens,2885,njit-highlanders,NJIT Highlanders
womens,160,new-hampshire-wildcats,New Hampshire Wildcats
womens,399,ualbany-great-danes,UAlbany Great Danes
womens,2378,umbc-retrievers,UMBC Retrievers
womens,2349,umass-lowell-river-hawks,UMass Lowell River Hawks
womens,261,vermont-catamounts,Vermont Catamounts
womens,2429,charlotte-49ers,Charlotte 49ers
womens,151,east-carolina-pirates,East Carolina Pirates
womens,2226,florida-atlantic-owls,Florida Atlantic Owls
womens,235,memphis-tigers,Memphis Tigers
womens,249,north-texas-mean-green,North Texas Mean Green
womens,242,rice-owls,Rice Owls
womens,58,south-florida-bulls,South Florida Bulls
womens,218,temple-owls,Temple Owls
womens,2655,tulane-green-wave,Tulane Green Wave
womens,202,tulsa-golden-hurricane,Tulsa Golden Hurricane
womens,5,uab-blazers,UAB Blazers
womens,2636,utsa-roadrunners,UTSA Roadrunners
womens,2724,wichita-state-shockers,Wichita State Shockers
womens,2166,davidson-wildcats,Davidson Wildcats
womens,2168,dayton-flyers,Dayton Flyers
womens,2184,duquesne-dukes,Duquesne Dukes
womens,2230,fordham-rams,Fordham Rams
womens,2244,george-mason-patriots,George Mason Patriots
womens,45,george-washington-revolutionaries,George Washington Revolutionaries
womens,2325,la-salle-explorers,La Salle Explorers
womens,2350,loyola-chicago-ramblers,Loyola Chicago Ramblers
womens,113,massachusetts-minutewomen,Massachusetts Minutewomen
womens,227,rhode-island-rams,Rhode Island Rams
womens,257,richmond-spiders,Richmond Spiders
womens,2603,saint-josephs-hawks,Saint Joseph's Hawks
womens,139,saint-louis-billikens,Saint Louis Billikens
womens,179,st-bonaventure-bonnies,St. Bonaventure Bonnies
womens,2670,vcu-rams,VCU Rams
womens,9,arizona-state-sun-devils,Arizona State Sun Devils
womens,12,arizona-wildcats,Arizona Wildcats
womens,252,byu-cougars,BYU Cougars
womens,239,baylor-bears,Baylor Bears
womens,2132,cincinnati-bearcats,Cincinnati Bearcats
womens,38,colorado-buffaloes,Colorado Buffaloes
womens,248,houston-cougars,Houston Cougars
womens,66,iowa-state-cyclones,Iowa State Cyclones
womens,2305,kansas-jayhawks,Kansas Jayhawks
womens,2306,kansas-state-wildcats,Kansas State Wildcats
womens,197,oklahoma-state-cowgirls,Oklahoma State Cowgirls
womens,2628,tcu-horned-frogs,TCU Horned Frogs
womens,2641,texas-tech-lady-raiders,Texas Tech Lady Raiders
womens,2116,ucf-knights,UCF Knights
womens,254,utah-utes,Utah Utes
womens,277,west-virginia-mountaineers,West Virginia Mountaineers
womens,2086,butler-bulldogs,Butler Bulldogs
womens,156,creighton-bluejays,Creighton Bluejays
womens,305,depaul-blue-demons,DePaul Blue Demons
womens,46,georgetown-hoyas,Georgetown Hoyas
womens,269,marquette-golden-eagles,Marquette Golden Eagles
womens,2507,providence-friars,Providence Friars
womens,2550,seton-hall-pirates,Seton Hall Pirates
womens,2599,st-johns-red-storm,St. John's Red Storm
womens,41,uconn-huskies,UConn Huskies
womens,222,villanova-wildcats,Villanova Wildcats
womens,2752,xavier-musketeers,Xavier Musketeers
womens,331,eastern-washington-eagles,Eastern Washington Eagles
womens,304,idaho-state-bengals,Idaho State Bengals
womens,70,idaho-vandals,Idaho Vandals
womens,149,montana-lady-griz,Montana Lady Griz
womens,147,montana-state-bobcats,Montana State Bobcats
womens,2464,northern-arizona-lumberjacks,Northern Arizona Lumberjacks
womens,2458,northern-colorado-bears,Northern Colorado Bears
womens,2502,portland-state-vikings,Portland State Vikings
womens,16,sacramento-state-hornets,Sacramento State Hornets
womens,2692,weber-state-wildcats,Weber State Wildcats
womens,2127,charleston-southern-buccaneers,Charleston Southern Buccaneers
womens,2241,gardner-webb-runnin-bulldogs,Gardner-Webb Runnin' Bulldogs
womens,2272,high-point-panthers,High Point Panthers
womens,2344,longwood-lancers,Longwood Lancers
womens,2506,presbyterian-blue-hose,Presbyterian Blue Hose
womens,2515,radford-highlanders,Radford Highlanders
womens,2908,south-carolina-upstate-spartans,South Carolina Upstate Spartans
womens,2427,unc-asheville-bulldogs,UNC Asheville Bulldogs
womens,2737,winthrop-eagles,Winthrop Eagles
womens,356,illinois-fighting-illini,Illinois Fighting Illini
womens,84,indiana-hoosiers,Indiana Hoosiers
womens,2294,iowa-hawkeyes,Iowa Hawkeyes
womens,120,maryland-terrapins,Maryland Terrapins
womens,127,michigan-state-spartans,Michigan State Spartans
womens,130,michigan-wolverines,Michigan Wolverines
womens,135,minnesota-golden-gophers,Minnesota Golden Gophers
womens,158,nebraska-cornhuskers,Nebraska Cornhuskers
womens,77,northwestern-wildcats,Northwestern Wildcats
womens,194,ohio-state-buckeyes,Ohio State Buckeyes
womens,2483,oregon-ducks,Oregon Ducks
womens,213,penn-state-lady-lions,Penn State Lady Lions
womens,2509,purdue-boilermakers,Purdue Boilermakers
womens,164,rutgers-scarlet-knights,Rutgers Scarlet Knights
womens,26,ucla-bruins,UCLA Bruins
womens,30,usc-trojans,USC Trojans
womens,264,washington-huskies,Washington Huskies
womens,275,wisconsin-badgers,Wisconsin Badgers
womens,13,cal-poly-mustangs,Cal Poly Mustangs
womens,2934,cal-state-bakersfield-roadrunners,Cal State Bakersfield Roadrunners
womens,2239,cal-state-fullerton-titans,Cal State Fullerton Titans
womens,2463,cal-state-northridge-matadors,Cal State Northridge Matadors
womens,62,hawaii-rainbow-wahine,Hawai'i Rainbow Wahine
womens,299,long-beach-state-beach,Long Beach State Beach
womens,302,uc-davis-aggies,UC Davis Aggies
womens,300,uc-irvine-anteaters,UC Irvine Anteaters
womens,27,uc-riverside-highlanders,UC Riverside Highlanders
womens,28,uc-san-diego-tritons,UC San Diego Tritons
womens,2540,uc-santa-barbara-gauchos,UC Santa Barbara Gauchos
womens,2097,campbell-fighting-camels,Campbell Fighting Camels
womens,232,charleston-cougars,Charleston Cougars
womens,48,delaware-blue-hens,Delaware Blue Hens
womens,2182,drexel-dragons,Drexel Dragons
womens,2210,elon-phoenix,Elon Phoenix
womens,2261,hampton-lady-pirates,Hampton Lady Pirates
womens,2275,hofstra-pride,Hofstra Pride
womens,2405,monmouth-hawks,Monmouth Hawks
womens,2448,north-carolina-at-aggies,North Carolina A&T Aggies
womens,111,northeastern-huskies,Northeastern Huskies
womens,2619,stony-brook-seawolves,Stony Brook Seawolves
womens,119,towson-tigers,Towson Tigers
womens,350,unc-wilmington-seahawks,UNC Wilmington Seahawks
womens,2729,william-mary-tribe,William & Mary Tribe
womens,2229,florida-international-panthers,Florida International Panthers
